"filename", "language", "Python", "comment", "blank", "total"
"f:\Game 2D\GameJam2023\Character.py", "Python", 35, 2, 4, 41
"f:\Game 2D\GameJam2023\Graphics.py", "Python", 0, 0, -1, -1
"f:\Game 2D\GameJam2023\ImageGraphics.py", "Python", 1, 0, 1, 2
"f:\Game 2D\GameJam2023\Scene.py", "Python", 14, 0, 5, 19
"f:\Game 2D\GameJam2023\Weapon.py", "Python", 4, 0, 3, 7
"f:\Game 2D\GameJam2023\main.py", "Python", 52, 11, 16, 79
"Total", "-", 106, 13, 28, 147
