"filename", "language", "Python", "comment", "blank", "total"
"f:\Game 2D\GameJam2023\Audio.py", "Python", 14, 0, 4, 18
"f:\Game 2D\GameJam2023\Character.py", "Python", 2, 0, 0, 2
"f:\Game 2D\GameJam2023\ImageGraphics.py", "Python", 1, 0, 3, 4
"f:\Game 2D\GameJam2023\Scene.py", "Python", 9, 0, 6, 15
"f:\Game 2D\GameJam2023\Weapon.py", "Python", 4, 0, -2, 2
"f:\Game 2D\GameJam2023\main.py", "Python", 9, 0, 5, 14
"Total", "-", 39, 0, 16, 55
